del_f(Hz),V2(mV),del_t(ns),|Z|(Ohm),phi,phifake,Zfake
-200,81.9,109,853,1.36450,1.36450,852.5
-199,81.6,109,850,1.36452,1.36452,849.8
-198,81.4,109,847,1.36454,1.36454,847.1
-197,81.1,109,844,1.36456,1.36456,844.4
-196,80.8,109,842,1.36456,1.36456,841.6
-195,80.6,109,839,1.36457,1.36457,838.8
-194,80.3,109,836,1.36457,1.36457,836.0
-193,80.0,109,833,1.36456,1.36456,833.2
-192,79.8,109,830,1.36455,1.36455,830.3
-191,79.5,109,827,1.36453,1.36453,827.5
-190,79.2,109,825,1.36450,1.36450,824.6
-189,78.9,109,822,1.36447,1.36447,821.6
-188,78.7,109,819,1.36443,1.36443,818.7
-187,78.4,109,816,1.36439,1.36439,815.7
-186,78.1,109,813,1.36434,1.36434,812.7
-185,77.8,109,810,1.36428,1.36428,809.6
-184,77.5,109,807,1.36421,1.36421,806.6
-183,77.2,109,803,1.36414,1.36414,803.5
-182,76.9,109,800,1.36406,1.36406,800.4
-181,76.6,109,797,1.36396,1.36396,797.2
-180,76.3,109,794,1.36386,1.36386,794.0
-179,76.0,109,791,1.36376,1.36376,790.8
-178,75.7,109,788,1.36364,1.36364,787.6
-177,75.4,109,784,1.36351,1.36351,784.3
-176,75.1,109,781,1.36337,1.36337,781.0
-175,74.7,108,778,1.36322,1.36322,777.7
-174,74.4,108,774,1.36306,1.36306,774.3
-173,74.1,108,771,1.36289,1.36289,770.9
-172,73.8,108,768,1.36270,1.36270,767.5
-171,73.4,108,764,1.36250,1.36250,764.0
-170,73.1,108,761,1.36229,1.36229,760.5
-169,72.8,108,757,1.36207,1.36207,757.0
-168,72.4,108,753,1.36183,1.36183,753.5
-167,72.1,108,750,1.36158,1.36158,749.9
-166,71.7,108,746,1.36131,1.36131,746.2
-165,71.4,108,743,1.36103,1.36103,742.6
-164,71.0,108,739,1.36073,1.36073,738.9
-163,70.7,108,735,1.36042,1.36042,735.1
-162,70.3,108,731,1.36008,1.36008,731.4
-161,69.9,108,728,1.35973,1.35973,727.5
-160,69.6,108,724,1.35936,1.35936,723.7
-159,69.2,108,720,1.35896,1.35896,719.8
-158,68.8,108,716,1.35855,1.35855,715.9
-157,68.4,108,712,1.35812,1.35812,711.9
-156,68.0,108,708,1.35766,1.35766,707.9
-155,67.6,108,704,1.35718,1.35718,703.8
-154,67.2,108,700,1.35667,1.35667,699.7
-153,66.9,108,696,1.35614,1.35614,695.6
-152,66.4,108,691,1.35558,1.35558,691.4
-151,66.0,108,687,1.35500,1.35500,687.2
-150,65.6,108,683,1.35438,1.35438,682.9
-149,65.2,108,679,1.35373,1.35373,678.6
-148,64.8,108,674,1.35305,1.35305,674.3
-147,64.4,108,670,1.35234,1.35234,669.9
-146,63.9,108,665,1.35160,1.35160,665.4
-145,63.5,108,661,1.35081,1.35081,660.9
-144,63.1,107,656,1.34999,1.34999,656.4
-143,62.6,107,652,1.34913,1.34913,651.8
-142,62.2,107,647,1.34822,1.34822,647.1
-141,61.7,107,642,1.34728,1.34728,642.4
-140,61.3,107,638,1.34628,1.34628,637.7
-139,60.8,107,633,1.34524,1.34524,632.9
-138,60.3,107,628,1.34415,1.34415,628.0
-137,59.9,107,623,1.34301,1.34301,623.1
-136,59.4,107,618,1.34181,1.34181,618.1
-135,58.9,107,613,1.34055,1.34055,613.1
-134,58.4,107,608,1.33923,1.33923,608.1
-133,57.9,106,603,1.33784,1.33784,602.9
-132,57.4,106,598,1.33639,1.33639,597.7
-131,56.9,106,593,1.33487,1.33487,592.5
-130,56.4,106,587,1.33327,1.33327,587.2
-129,55.9,106,582,1.33160,1.33160,581.8
-128,55.4,106,576,1.32984,1.32984,576.4
-127,54.8,106,571,1.32799,1.32799,570.9
-126,54.3,106,565,1.32605,1.32605,565.4
-125,53.7,105,560,1.32402,1.32402,559.8
-124,53.2,105,554,1.32188,1.32188,554.1
-123,52.6,105,548,1.31963,1.31963,548.3
-122,52.1,105,543,1.31727,1.31727,542.5
-121,51.5,105,537,1.31478,1.31478,536.7
-120,50.9,104,531,1.31217,1.31217,530.7
-119,50.4,104,525,1.30942,1.30942,524.7
-118,49.8,104,519,1.30653,1.30653,518.6
-117,49.2,104,512,1.30348,1.30348,512.5
-116,48.6,103,506,1.30027,1.30027,506.3
-115,48.0,103,500,1.29689,1.29689,500.0
-114,47.3,103,494,1.29332,1.29332,493.6
-113,46.7,103,487,1.28956,1.28956,487.2
-112,46.1,102,481,1.28559,1.28559,480.7
-111,45.5,102,474,1.28140,1.28140,474.1
-110,44.8,102,467,1.27697,1.27697,467.4
-109,44.2,101,461,1.27228,1.27228,460.7
-108,43.5,101,454,1.26733,1.26733,453.9
-107,42.8,100,447,1.26208,1.26208,447.0
-106,42.2,100,440,1.25652,1.25652,440.1
-105,41.5,100,433,1.25063,1.25063,433.0
-104,40.8,99,426,1.24438,1.24438,425.9
-103,40.1,99,419,1.23774,1.23774,418.8
-102,39.4,98,412,1.23068,1.23068,411.5
-101,38.7,97,404,1.22318,1.22318,404.2
-100,38.0,97,397,1.21520,1.21520,396.8
-99,37.3,96,389,1.20669,1.20669,389.4
-98,36.5,95,382,1.19762,1.19762,381.8
-97,35.8,95,374,1.18793,1.18793,374.2
-96,35.1,94,367,1.17758,1.17758,366.6
-95,34.3,93,359,1.16651,1.16651,358.9
-94,33.6,92,351,1.15465,1.15465,351.2
